Name,Question,value,text
A,v1,30,On the way to Malaysia...no internet access to Twit
A,v2,95,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . wha...
A,v3,22,Went to sleep and there is a power cut in Noida Power back up not working too
A,v4,14,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
A,v5,59,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unh...
A,v6,52,"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Arm..."
A,v7,88,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY
A,v8,20,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs..."
A,v9,99,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
A,v10,66,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"
B,v1,37,i want to go to music tonight but i lost my voice.
B,v2,50,"Uh oh, I am sunburned"
B,v3,81,"i`ve been sick for the past few days and thus, my hair looks wierd. if i didnt have a hat on it wo..."
B,v4,79,is back home now gonna miss every one
B,v5,84,Hes just not that into you
B,v6,91,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third jo...
B,v7,82,is cleaning the house for her family who is comming later today..
B,v8,89,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
B,v9,6,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
B,v10,67,"the free fillin` app on my ipod is fun, im addicted"
C,v1,96,"I`d have responded, if I were going"
C,v2,13,Sooo SAD I will miss you here in San Diego!!!
C,v3,98,my boss is bullying me...
C,v4,10,what interview! leave me alone
C,v5,86,"Sons of ****, why couldn`t they put them on the releases we already bought"
C,v6,23,2am feedings for the baby are fun when he is all smiles and coos
C,v7,74,Journey!? Wow... u just became cooler. hehe... (is that possible!?)
C,v8,47,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake an..."
C,v9,73,I really really like the song Love Story by Taylor Swift
C,v10,40,My Sharpie is running DANGERously low on ink
D,v1,75,On the way to Malaysia...no internet access to Twit
D,v2,18,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . wha...
D,v3,92,Went to sleep and there is a power cut in Noida Power back up not working too
D,v4,43,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
D,v5,16,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unh...
D,v6,27,"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Arm..."
D,v7,76,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY
D,v8,24,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs..."
D,v9,1,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
D,v10,87,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"
E,v1,44,i want to go to music tonight but i lost my voice.
E,v2,29,"Uh oh, I am sunburned"
E,v3,58,"i`ve been sick for the past few days and thus, my hair looks wierd. if i didnt have a hat on it wo..."
E,v4,55,is back home now gonna miss every one
E,v5,65,Hes just not that into you
E,v6,56,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third jo...
E,v7,9,is cleaning the house for her family who is comming later today..
E,v8,78,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
E,v9,49,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
E,v10,36,"the free fillin` app on my ipod is fun, im addicted"
F,v1,35,"I`d have responded, if I were going"
F,v2,80,Sooo SAD I will miss you here in San Diego!!!
F,v3,8,my boss is bullying me...
F,v4,46,what interview! leave me alone
F,v5,48,"Sons of ****, why couldn`t they put them on the releases we already bought"
F,v6,100,2am feedings for the baby are fun when he is all smiles and coos
F,v7,17,Journey!? Wow... u just became cooler. hehe... (is that possible!?)
F,v8,41,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake an..."
F,v9,33,I really really like the song Love Story by Taylor Swift
F,v10,11,My Sharpie is running DANGERously low on ink
G,v1,77,On the way to Malaysia...no internet access to Twit
G,v2,62,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . wha...
G,v3,94,Went to sleep and there is a power cut in Noida Power back up not working too
G,v4,15,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
G,v5,69,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unh...
G,v6,63,"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Arm..."
G,v7,61,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY
G,v8,54,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs..."
G,v9,38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
G,v10,93,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"
H,v1,39,i want to go to music tonight but i lost my voice.
H,v2,26,"Uh oh, I am sunburned"
H,v3,90,"i`ve been sick for the past few days and thus, my hair looks wierd. if i didnt have a hat on it wo..."
H,v4,83,is back home now gonna miss every one
H,v5,31,Hes just not that into you
H,v6,2,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third jo...
H,v7,51,is cleaning the house for her family who is comming later today..
H,v8,28,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
H,v9,42,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
H,v10,7,"the free fillin` app on my ipod is fun, im addicted"
I,v1,5,"I`d have responded, if I were going"
I,v2,60,Sooo SAD I will miss you here in San Diego!!!
I,v3,21,my boss is bullying me...
I,v4,25,what interview! leave me alone
I,v5,3,"Sons of ****, why couldn`t they put them on the releases we already bought"
I,v6,70,2am feedings for the baby are fun when he is all smiles and coos
I,v7,34,Journey!? Wow... u just became cooler. hehe... (is that possible!?)
I,v8,68,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake an..."
I,v9,57,I really really like the song Love Story by Taylor Swift
I,v10,32,My Sharpie is running DANGERously low on ink
J,v1,19,On the way to Malaysia...no internet access to Twit
J,v2,85,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . wha...
J,v3,53,Went to sleep and there is a power cut in Noida Power back up not working too
J,v4,45,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
J,v5,71,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unh...
J,v6,64,"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Arm..."
J,v7,4,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY
J,v8,12,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs..."
J,v9,97,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
J,v10,72,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"